"Farnell","Name","Value","Device","Package"
"CEM-1203","B1","BUZZER66","BUZZER66","BUZZER66"
"2688486RL","C1","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C2","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C3","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C4","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C5","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C6","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C7","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C8","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C9","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"1081223","C10","47pF","CAP0805","0805"
"1081223","C11","47pF","CAP0805","0805"
"1081223","C12","0.1uF","CAP0805","0805"
"2688486RL","C13","1 µF","0.33UF/330NF-0805-50V-10%","0805"
"2688486RL","C14","0.1µF","0.33UF/330NF-0805-50V-10%","0805"
"2666560","C15","22uF","C-EUC0805","C0805"
"2666560","C16","22uF","C-EUC0805","C0805"
"2749341","C19","2200uF","CPOL-EUE5-13","E5-13"
"2749341","C20","2200uF","CPOL-EUE5-13","E5-13"
"1829201 ","D1","PMEG4030EP","PMEG4030EP","SOD128"
"8737843RL","D3","","DIODESOD","SOD-323"
"1308876","J1","USB-B","USBPTH","USB-B-PTH"
"1217037","J2","","DC21MMX","DC-21MM"
"9491805","J3","B6B-ZR","B6B-ZR","B6B-ZR"
"9491805","J4","B6B-ZR","B6B-ZR","B6B-ZR"
"9491805","J5","B6B-ZR","B6B-ZR","B6B-ZR"
"JF-0530B","J6","KICKER","KICKER","KICKER"
"1741369","L1","IHLP2525CZER220M11IND_IHLP_2525_CZ_VIS-M","IHLP2525CZER220M11IND_IHLP_2525_CZ_VIS-M","IND_IHLP_2525_CZ_VIS-M"
"WS2812B 5050","LED1","WS2812B5050","WS2812B5050","WS2812B"
"WS2812B 5050","LED2","WS2812B5050","WS2812B5050","WS2812B"
"WS2812B 5050","LED3","WS2812B5050","WS2812B5050","WS2812B"
"WS2812B 5050","LED4","WS2812B5050","WS2812B5050","WS2812B"
"WS2812B 5050","LED5","WS2812B5050","WS2812B5050","WS2812B"
"WS2812B 5050","LED6","WS2812B5050","WS2812B5050","WS2812B"
"2577180RL","Q1","IRLMS2002TRPBF","IRLMS2002TRPBF","SOT23-6"
"2577180RL","Q2","IRLMS2002TRPBF","IRLMS2002TRPBF","SOT23-6"
"1081223 ","Q3","NPN_BC817,215","NPN_BC817,215","SOT-23"
"1794799","Q4","SUD50N04-8M8P-4GE3","SUD50N04-8M8P-4GE3","TO252"
"1081223 ","Q5","NPN_BC817,215","NPN_BC817,215","SOT-23"
"1081223 ","Q6","NPN_BC817,215","NPN_BC817,215","SOT-23"
"2446926","R1","10K","0.3OHM-0805-1/8W-1%","0805"
"2447622","R2","2k","0.3OHM-0805-1/8W-1%","0805"
"2074395","R3","20K","0.3OHM-0805-1/8W-1%","0805"
"2447023","R4","68k","0.3OHM-0805-1/8W-1%","0805"
"2074334RL","R5","10K","0.3OHM-0805-1/8W-1%","0805"
"1887603","R6","3K","0.3OHM-0805-1/8W-1%","0805"
"2447662","R7","470","0.3OHM-0805-1/8W-1%","0805"
"2447622","R8","2K","0.3OHM-0805-1/8W-1%","0805"
"2074334RL","R9","470","0.3OHM-0805-1/8W-1%","0805"
"2074334RL","R10","470","0.3OHM-0805-1/8W-1%","0805"
"2447622","R11","2K","0.3OHM-0805-1/8W-1%","0805"
"2446926","R12","22","0.3OHM-0805-1/8W-1%","0805"
"2446926","R13","22","0.3OHM-0805-1/8W-1%","0805"
"1887603","R14","270","R-EU_R2010","R2010"
"2446926","R15","5K","0.3OHM-0805-1/8W-1%","0805"
"2446926","R16","10K","0.3OHM-0805-1/8W-1%","0805"
"2446926","R17","10K","0.3OHM-0805-1/8W-1%","0805"
"1696320","REG1","REG_5V","REG_5V","TRACOPOWER"
"2435159","S1","DPDT","DPDT","L202021MA04Q"
"7261403","U$25","TS2940CW-3.3RP","TS2940CW-3.3RP","SOT223"
"1146032","U1","FT232L","FT232L","SSOP28"
"ESP32-WROOM","U2","ESP32-WROOM-32E_(16MB)","ESP32-WROOM-32E_(16MB)","MODULE_ESP32-WROOM-32E_(16MB)"
"https://www.digikey.fr/fr/products/detail/ablic-u-s-a-inc/S-8252AAL-M6T1U/6121452","U3","S8252","S8252","SOT23-6"
"L9110 SOIC8","U4","L9110","L9110","SO8"
"L9110 SOIC8","U5","L9110","L9110","SO8"
"L9110 SOIC8","U6","L9110","L9110","SO8"
"MT3608","U7","MT3608","MT3608","SOT95P280X145-6N"
